Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Govalle Elementary,78702,11/18/2014,89,"3601 GOVALLE AVE
AUSTIN, TX 78702
(30.264654, -97.698329)",2800344,Routine Inspection
HEB Deli #236,78660,08/04/2014,100,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.441201, -97.664452)",2800654,Routine Inspection
Gus Garcia Recreation Center,78753,10/21/2015,97,"1201 E RUNDBERG LN
AUSTIN, TX 78753
(30.354041, -97.681519)",10184409,Routine Inspection
HEB #20 Deli & Bakery,78727,03/17/2016,90,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442054, -97.74155)",2801129,Routine Inspection
Hampton Inn-Austin NW,78759,11/03/2015,95,"3908 W BRAKER LN
AUSTIN, TX 78759
(30.39708, -97.735243)",2801145,Routine Inspection
Glorieta Y Taqueria,78753,01/09/2015,71,"8610 N LAMAR BLVD Unit 100
AUSTIN, TX 78753
(30.354921, -97.703466)",10936903,Routine Inspection
French Hall Academy,78724,10/08/2013,87,"6606 SANDSHOF DR
AUSTIN, TX 78724
(30.298383, -97.646033)",2800751,Routine Inspection
HEB Grocery #15,78758,01/19/2016,94,"9414 N LAMAR BLVD
AUSTIN, TX 78758
(30.364881, -97.695995)",2803532,Routine Inspection
HandleBar,78701,07/02/2015,100,"121 E 5TH ST
AUSTIN, TX 78701
(30.266795, -97.741984)",10734366,Routine Inspection
Gus Garcia Young Men's Leadership Academy,78724,03/28/2014,100,"7414 JOHNNY MORRIS RD
AUSTIN, TX 78724
(30.310961, -97.64054)",10065968,Routine Inspection
Hi Hat Public House,78702,12/05/2014,86,"2121 E 6TH ST Unit 101
AUSTIN, TX 78702
(30.260655, -97.719664)",10841589,Routine Inspection
HEB Central Mkt #061 Grocery/Market/Seafood,78751,11/03/2015,100,"4001 N LAMAR BLVD
AUSTIN, TX 78751
(30.306325, -97.742338)",2803469,Routine Inspection
Golden Chick,78745,07/17/2014,74,"616 W STASSNEY LN
AUSTIN, TX 78745
(30.20833, -97.781058)",2803103,Routine Inspection
Graham Central Station,78660,03/20/2014,90,"1717 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.455913, -97.662103)",2802430,Routine Inspection
HEB #27- Anderson Mill,78726,08/18/2015,100,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.454988, -97.826231)",2803962,Routine Inspection
Guero's Taco Bar,78704,09/17/2013,100,"1412 S CONGRESS AVE
AUSTIN, TX 78704
(30.249038, -97.749871)",2800979,Routine Inspection
"HEB Food Store #639 - Deli, Bakery, Produce, Cafe",78723,06/16/2015,94,"1801 E 51ST ST
AUSTIN, TX 78723
(30.302589, -97.697714)",10999165,Routine Inspection
Fresh Cup Frozen Yogurt,78753,05/13/2014,93,"13000 N IH 35 SVRD SB Bunit 116
AUSTIN, TX 78753
(30.408645, -97.676748)",10894559,Routine Inspection
Galaxy Cafe,78703,02/21/2014,92,"1000 WEST LYNN ST
AUSTIN, TX 78703
(30.279215, -97.759786)",10001511,Routine Inspection
Gracy Woods 2 Living Center,78758,04/04/2014,96,"12042-1/2 BITTERN HOLW
AUSTIN, TX 78758
(30.401874, -97.699343)",2800842,Routine Inspection
HEB Food Store #269 - Restaurant,78759,03/31/2014,97,"10710 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.398617, -97.746473)",2800129,Routine Inspection
G & S Lounge,78704,04/02/2014,100,"2420 S 1ST ST
AUSTIN, TX 78704
(30.240684, -97.760559)",2800845,Routine Inspection
Guantanamera,78745,09/18/2015,90,"6800 WEST GATE BLVD Unit 112
AUSTIN, TX 78745
(30.208392, -97.814694)",11286664,Routine Inspection
Hampton Inn & Suites Austin - Downtown,78701,05/14/2015,86,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.264124, -97.741615)",11235966,Routine Inspection
HEB Food Store #465,78702,06/02/2015,97,"2701 E 7TH ST
AUSTIN, TX 78702
(30.26054, -97.711201)",2800609,Routine Inspection
Go Go Gourmet,78705,12/16/2013,96,"104 E 31ST ST
AUSTIN, TX 78705
(30.29507, -97.736652)",10815438,Routine Inspection
Gallons to Go,78757,04/06/2015,93,"6416 N LAMAR BLVD
AUSTIN, TX 78757
(30.33245, -97.722234)",2801944,Routine Inspection
G's Dynamite Deli,78704,02/03/2015,91,"2312 S 1ST ST
AUSTIN, TX 78704
(30.24245, -97.75914)",10604985,Routine Inspection
HEB #20 Deli & Bakery,78727,10/14/2013,97,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442054, -97.74155)",2801129,Routine Inspection
Genghis Grill,78745,05/21/2015,84,"4477 S LAMAR BLVD NB Unit 400
AUSTIN, TX 78745
(30.232263, -97.798942)",10523944,Routine Inspection
HEB #20 Retail,78727,10/03/2014,97,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442054, -97.74155)",2803865,Routine Inspection
Hamilton Twelve Wedding & Event Venue,78620,10/03/2014,100,"18619 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.286138, -98.060483)",10948404,Routine Inspection
Hampton Inn and Suites Austin Airport,78744,07/25/2014,85,"7712 E RIVERSIDE DR
AUSTIN, TX 78744
(30.216924, -97.6899)",11055044,Routine Inspection
Genghis Grill,78745,12/10/2014,87,"4477 S LAMAR BLVD NB Unit 400
AUSTIN, TX 78745
(30.232263, -97.798942)",10523944,Routine Inspection
HEB Central Mkt #061 Prepared Foods,78751,11/03/2015,94,"4001 N LAMAR BLVD
AUSTIN, TX 78751
(30.306325, -97.742338)",2800912,Routine Inspection
"Green Mesquite, The",78704,10/21/2015,83,"1400 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.261258, -97.759268)",2800018,Routine Inspection
Hampton Inn & Suites Austin@The Univ./Capitol,78701,09/16/2015,94,"1701 LAVACA ST
AUSTIN, TX 78701
(30.279416, -97.741224)",10841957,Routine Inspection
Happy Kids Day Care,78723,10/22/2014,93,"5709 MANOR RD
AUSTIN, TX 78723
(30.304977, -97.681012)",10458107,Routine Inspection
Golden Chick,78702,05/19/2015,88,"1144 AIRPORT BLVD Unit 700
AUSTIN, TX 78702
(30.272318, -97.697534)",10006084,Routine Inspection
Hana World Market - Supermarket,78727,10/05/2015,96,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10676999,Routine Inspection
Great Harvest Bakery,78746,10/13/2015,92,"3201 BEE CAVES RD Unit 126
AUSTIN, TX 78746
(30.273879, -97.799654)",2803488,Routine Inspection
Hang Fung Ginseng,78753,10/20/2015,97,"10901 N LAMAR BLVD Bunit 201
AUSTIN, TX 78753
(30.378384, -97.688383)",2804117,Routine Inspection
HEB - Deli/Bakery/Produce - Brodie,78749,01/23/2015,94,"6900 BRODIE LN
AUSTIN, TX 78749
(30.215283, -97.829514)",2801405,Routine Inspection
"Gatsby, The",78701,09/10/2015,91,"708 E 6TH ST
AUSTIN, TX 78701
(30.266051, -97.735613)",11066547,Routine Inspection
Friendly Mart,78745,06/26/2014,97,"7200 MANCHACA RD
AUSTIN, TX 78745
(30.199859, -97.807497)",2803510,Routine Inspection
Grisham Middle School,78750,09/10/2015,97,"10805 SCHOOL HOUSE LN
AUSTIN, TX 78750
(30.457644, -97.806225)",10314281,Routine Inspection
Genghis Grill,78745,11/18/2015,84,"4477 S LAMAR BLVD NB Unit 400
AUSTIN, TX 78745
(30.232263, -97.798942)",10523944,Routine Inspection
Golden Chick,78702,12/19/2014,93,"1144 AIRPORT BLVD Unit 700
AUSTIN, TX 78702
(30.272318, -97.697534)",10006084,Routine Inspection
HEB Food Store #161,78723,04/30/2015,89,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.312799, -97.662825)",2800078,Routine Inspection
HEB - Deli/Bakery/Produce - Brodie,78749,09/15/2015,85,"6900 BRODIE LN
AUSTIN, TX 78749
(30.215283, -97.829514)",2801405,Routine Inspection
Gracy Food Mart,78758,06/24/2013,100,"12001 BURNET RD Unit I
AUSTIN, TX 78758
(30.408056, -97.713626)",10594203,Routine Inspection
Growler Room,78757,01/15/2015,100,"6800 BURNET RD Unit 2
AUSTIN, TX 78757
(30.34407, -97.738228)",10882060,Routine Inspection
Generations CDC II,78723,07/01/2015,100,"1610 WHELESS LN
AUSTIN, TX 78723
(30.318684, -97.690528)",2801381,Routine Inspection
HEB Food Store #202 - Restaurant,78756,08/14/2013,100,"5808 BURNET RD
AUSTIN, TX 78756
(30.32579, -97.739684)",2800322,Routine Inspection
Friends and Neighbors,78702,03/10/2016,93,"2614 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.253508, -97.714275)",11099627,Routine Inspection
HEB  Deli & Bakery,78758,01/19/2016,92,"9414 N LAMAR BLVD
AUSTIN, TX 78758
(30.364881, -97.695995)",2800162,Routine Inspection
Gloria's Restaurant,78701,08/06/2013,82,"300 W 6TH ST
AUSTIN, TX 78701
(30.268876, -97.745732)",10879710,Routine Inspection
Hilton Austin,78719,07/23/2013,77,"9515 HOTEL DR
AUSTIN, TX 78719
(30.212142, -97.66328)",2802487,Routine Inspection
Hana World Market - Supermarket,78727,05/13/2014,96,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10676999,Routine Inspection
"HEB Food Store #8, Bakery & Deli ",78704,10/13/2014,100,"2400 S CONGRESS AVE
AUSTIN, TX 78704
(30.238285, -97.754014)",2800044,Routine Inspection
Guerrero-Thompson Elementary School,78753,09/22/2015,97,"102 E RUNDBERG LN
AUSTIN, TX 78753
(30.360804, -97.693239)",10991640,Routine Inspection
HEB Bakery/Deli,78751,06/06/2013,97,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2801079,Routine Inspection
HEB Food Store #202,78756,02/05/2015,100,"5808 BURNET RD
AUSTIN, TX 78756
(30.32579, -97.739684)",2803561,Routine Inspection
HEB #096-Deli/Bakery/Produce,78731,01/12/2015,96,"7025 VILLAGE CENTER DR
AUSTIN, TX 78731
(30.352707, -97.7561)",2800772,Routine Inspection
Gold's Gym Austin Downtown,78701,03/14/2016,92,"115 E 6TH ST
AUSTIN, TX 78701
(30.267971, -97.742507)",11359315,Routine Inspection
Hamilton Market,78620,08/28/2014,84,"18901 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.286938, -98.065669)",10001726,Routine Inspection
Fry's Electronics #22,78727,07/07/2014,96,"12707 N MOPAC EXPY NB
AUSTIN, TX 78727
(30.423703, -97.702539)",2801717,Routine Inspection
HEB #20 Deli & Bakery,78727,03/26/2015,90,"6001 W PARMER LN
AUSTIN, TX 78727
(30.442054, -97.74155)",2801129,Routine Inspection
Get N Go,78723,10/16/2014,87,"6201 MANOR RD
AUSTIN, TX 78723
(30.308049, -97.676023)",10128069,Routine Inspection
Hamilton Market,78620,02/03/2015,100,"18901 HAMILTON POOL RD
DRIPPING SPRINGS, TX 78620
(30.286938, -98.065669)",10001726,Routine Inspection
Gourmet By Numbers,78729,03/15/2016,90,"7318 MC NEIL DR Unit 109
AUSTIN, TX 78729
(30.435081, -97.767404)",11404645,Routine Inspection
Hampton Inn and Suites Austin,78750,01/28/2015,96,"10811 PECAN PARK BLVD
AUSTIN, TX 78750
(30.464941, -97.803652)",10016822,Routine Inspection
HEB  Deli & Bakery,78758,06/10/2013,94,"9414 N LAMAR BLVD
AUSTIN, TX 78758
(30.364881, -97.695995)",2800162,Routine Inspection
HEB Food Store #202 - Restaurant,78756,03/01/2016,100,"5808 BURNET RD
AUSTIN, TX 78756
(30.32579, -97.739684)",2800322,Routine Inspection
Gusto Italian Kitchen and Wine Bar,78756,06/18/2015,97,"4800 BURNET RD
AUSTIN, TX 78756
(30.318803, -97.739443)",10439680,Routine Inspection
Hai Ky,78741,02/06/2015,93,"1931 E OLTORF ST
AUSTIN, TX 78741
(30.231034, -97.734838)",2801611,Routine Inspection
Full English,78745,07/25/2013,96,"2000 SOUTHERN OAKS DR
AUSTIN, TX 78745
(30.218672, -97.795767)",10484451,Routine Inspection
Great Hills Golf Club,78759,06/19/2015,77,"5914 LOST HORIZON DR
AUSTIN, TX 78759
(30.402112, -97.766923)",2800299,Routine Inspection
Grisham Middle School,78750,10/29/2014,94,"10805 SCHOOL HOUSE LN
AUSTIN, TX 78750
(30.457644, -97.806225)",10314281,Routine Inspection
HEB #374,78745,07/07/2014,96,"600 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.196776, -97.786862)",2803482,Routine Inspection
Frullati Cafe,78746,03/03/2015,85,"2901 S CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.254658, -97.809462)",2801066,Routine Inspection
Gracy Woods 2 Living Center,78758,08/14/2013,80,"12042-1/2 BITTERN HOLW
AUSTIN, TX 78758
(30.401874, -97.699343)",2800842,Routine Inspection
HEB Plus #12 - Deli/Bakery/Produce,78741,12/27/2013,97,"2508 E RIVERSIDE DR
AUSTIN, TX 78741
(30.234637, -97.723434)",10402647,Routine Inspection
Hampton Inn and Suites Austin Airport,78744,10/26/2015,94,"7712 E RIVERSIDE DR
AUSTIN, TX 78744
(30.216924, -97.6899)",11055044,Routine Inspection
HEB Food Store #465 - Retail,78702,10/22/2015,96,"2701 E 7TH ST
AUSTIN, TX 78702
(30.26054, -97.711201)",2803572,Routine Inspection
Hana World Market - Meat and Fish,78727,10/05/2015,97,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10866935,Routine Inspection
Fresh Plus,78703,01/14/2014,96,"1221 WEST LYNN ST
AUSTIN, TX 78703
(30.28074, -97.758773)",10082179,Routine Inspection
Growler Room,78757,02/11/2016,97,"6800 BURNET RD Unit 2
AUSTIN, TX 78757
(30.34407, -97.738228)",10882060,Routine Inspection
Golden Chick,78745,01/20/2015,89,"616 W STASSNEY LN
AUSTIN, TX 78745
(30.20833, -97.781058)",2803103,Routine Inspection
Great Harvest Bakery,78746,11/04/2014,86,"3201 BEE CAVES RD Unit 126
AUSTIN, TX 78746
(30.273879, -97.799654)",2803488,Routine Inspection
Gods Kingdom Daycare Center,78660,01/06/2016,100,"112 E HOWARD LN
AUSTIN, TX 78660
(30.417489, -97.65757)",10954558,Routine Inspection
HEB Grocery #15,78758,01/16/2014,73,"9414 N LAMAR BLVD
AUSTIN, TX 78758
(30.364881, -97.695995)",2803532,Routine Inspection
Friends and Neighbors,78702,03/24/2015,97,"2614 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.253508, -97.714275)",11099627,Routine Inspection
Hampton Inn-Austin NW,78759,01/27/2015,85,"3908 W BRAKER LN
AUSTIN, TX 78759
(30.39708, -97.735243)",2801145,Routine Inspection
Gloria's Restaurant #11,78758,09/08/2014,86,"3309 ESPERANZA XING Bunit 100
AUSTIN, TX 78758
(30.400381, -97.725939)",10359753,Routine Inspection
Hana World Market - Deli,78727,05/13/2014,85,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10866954,Routine Inspection
Gloria's Restaurant #11,78758,05/28/2013,84,"3309 ESPERANZA XING Bunit 100
AUSTIN, TX 78758
(30.400381, -97.725939)",10359753,Routine Inspection
Habana Restaurant,78704,07/07/2015,73,"2728 S CONGRESS AVE
AUSTIN, TX 78704
(30.234718, -97.756999)",2801827,Routine Inspection
Hampton Inn and Suites Austin,78750,08/19/2014,94,"10811 PECAN PARK BLVD
AUSTIN, TX 78750
(30.464941, -97.803652)",10016822,Routine Inspection
Gracy Food Mart,78758,01/06/2014,100,"12001 BURNET RD Unit I
AUSTIN, TX 78758
(30.408056, -97.713626)",10594203,Routine Inspection
Ginger Man,78701,10/09/2015,90,"301 LAVACA ST
AUSTIN, TX 78701
(30.266169, -97.746157)",10224302,Routine Inspection
Gods Kingdom Daycare Center,78660,08/12/2014,97,"112 E HOWARD LN
AUSTIN, TX 78660
(30.417489, -97.65757)",10954558,Routine Inspection
Great Habits Gift Shop,78705,10/15/2015,96,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306168, -97.74525)",11019877,Routine Inspection
Hana World Market - Supermarket,78727,04/11/2016,90,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10676999,Routine Inspection
Gran Prix,78617,03/03/2015,90,"13917 FM 812 RD
AUSTIN, TX 78617
(30.120484, -97.635017)",11072560,Routine Inspection
HEB Deli #236,78660,06/10/2013,82,"1434 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.441201, -97.664452)",2800654,Routine Inspection
Great Hills Golf Club,78759,01/19/2016,98,"5914 LOST HORIZON DR
AUSTIN, TX 78759
(30.402112, -97.766923)",2800299,Routine Inspection
H & H Ballroom,78744,03/08/2016,92,"4404 BRANDT RD
AUSTIN, TX 78744
(30.159142, -97.773253)",10005782,Routine Inspection
"Godiva Chocolatier, Inc",78746,01/08/2015,92,"2901 S CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.254658, -97.809462)",2803618,Routine Inspection
"Grackle, The",78702,09/23/2015,97,"1700 E 6TH ST
AUSTIN, TX 78702
(30.262297, -97.724273)",10509641,Routine Inspection
HEB #476,78753,01/15/2015,97,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.403174, -97.672212)",2803841,Routine Inspection
Haven Food Mart,78752,05/20/2015,97,"614 E ST JOHNS AVE
AUSTIN, TX 78752
(30.333529, -97.705717)",2803517,Routine Inspection
HEB Grocery,78723,11/21/2014,100,"1801 E 51ST ST
AUSTIN, TX 78723
(30.302589, -97.697714)",10971971,Routine Inspection
Happy Hearts Bilingual Learning Center #2,78748,02/12/2016,97,"1112 W SLAUGHTER LN
AUSTIN, TX 78748
(30.173973, -97.811422)",11153488,Routine Inspection
Gethsemane Lutheran Child Care,78753,10/21/2013,100,"200 W ANDERSON LN WB
AUSTIN, TX 78753
(30.344624, -97.706018)",2800503,Routine Inspection
Hana World Market - Foodcourt,78727,05/19/2014,71,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",10875585,Routine Inspection
Galaxy Cafe,78751,05/14/2015,100,"4616 TRIANGLE AVE Unit 203
AUSTIN, TX 78751
(30.314849, -97.733631)",10092605,Routine Inspection
Hai Ky,78741,08/01/2013,86,"1931 E OLTORF ST
AUSTIN, TX 78741
(30.231034, -97.734838)",2801611,Routine Inspection
Galaxy Cafe,78703,08/13/2013,95,"1000 WEST LYNN ST
AUSTIN, TX 78703
(30.279215, -97.759786)",10001511,Routine Inspection
HEB Food Store #161- Retail,78723,04/08/2014,100,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.312799, -97.662825)",2803533,Routine Inspection
HEB #024,78726,03/10/2016,95,"11521 N FM 620 RD Bldg A
AUSTIN, TX 78726
(30.4545, -97.82678)",2802382,Routine Inspection
Habesha Restaurant & Bar,78723,01/14/2015,82,"6017-1/2 N IH 35 SVRD NB
AUSTIN, TX 78723
(30.321289, -97.706464)",10864575,Routine Inspection
HEB Food Store #218 Deli & Bakery,78758,10/19/2015,97,"12407 N MOPAC EXPY NB Unit 700
AUSTIN, TX 78758
(30.418008, -97.704522)",2800260,Routine Inspection
Hampton Inn and Suites Austin,78750,11/23/2015,93,"10811 PECAN PARK BLVD
AUSTIN, TX 78750
(30.464941, -97.803652)",10016822,Routine Inspection
Happy Kids Day Care,78723,04/02/2015,97,"5709 MANOR RD
AUSTIN, TX 78723
(30.304977, -97.681012)",10458107,Routine Inspection
Great Harvest Bakery,78746,03/14/2014,84,"3201 BEE CAVES RD Unit 126
AUSTIN, TX 78746
(30.273879, -97.799654)",2803488,Routine Inspection
Halal Bros,78705,10/12/2015,85,"2712 GUADALUPE ST
AUSTIN, TX 78705
(30.292665, -97.741426)",11040224,Routine Inspection
Greater East Austin Concession Stand,78702,03/24/2016,100,"1400 ALEXANDER AVE
AUSTIN, TX 78702
(30.277611, -97.708621)",10753601,Routine Inspection
Gardner BettsTravis County,78704,10/21/2013,97,"2515 S CONGRESS AVE
AUSTIN, TX 78704
(30.236934, -97.755148)",2801401,Routine Inspection
HEB Grocery #15,78758,09/26/2014,100,"9414 N LAMAR BLVD
AUSTIN, TX 78758
(30.364881, -97.695995)",2803532,Routine Inspection
Ginger Man,78701,03/17/2015,86,"301 LAVACA ST
AUSTIN, TX 78701
(30.266169, -97.746157)",10224302,Routine Inspection
Gods Kingdom Daycare Center,78660,02/14/2014,97,"112 E HOWARD LN
AUSTIN, TX 78660
(30.417489, -97.65757)",10954558,Routine Inspection
Galindo Elementary,78704,09/15/2015,92,"3800 S 2ND ST
AUSTIN, TX 78704
(30.228616, -97.771339)",2800146,Routine Inspection
Generations / Night Care,78753,01/26/2015,91,"8203 SAM RAYBURN DR
AUSTIN, TX 78753
(30.346474, -97.699996)",2800512,Routine Inspection
Guckenheimer @ Google University Park,78705,03/24/2016,100,"3300 N IH 35 SVRD SB Unit 800
AUSTIN, TX 78705
(30.290971, -97.722351)",11213012,Routine Inspection
